id,unit,url,name_en, name_zh,
rice,oz,,rice,米饭
green_beans,lb,,green beans,豆角
bell_pepper,piece,,bell pepper,甜椒
sesame,oz,,sesame seeds,芝麻
tamari,oz,,tamari soy sauce,日本酱油
salmon,oz,,salmon fillets,三文鱼排
sweet_chili_sauce,oz,,Thai sweet chili sauce,泰式甜辣酱
lime,piece,,lime,酸橙
chives,oz,,fresh chives,细香葱
rosemary,oz,,fresh rosemary,迷迭香
garlic,piece,,garlic,大蒜
lemon,piece,,lemon,柠檬
parmesan,oz,,Parmesan,帕尔马干酪
polenta,oz,,polenta,意式玉米粥
pork,oz,,pork cutlets,猪排
turkey_broth_con,pkt,,turkey broth concentrate,火鸡汤浓缩液
caper,oz,,capers,刺山柑
